,Name,R,2B,3B,HR,BB,IBB,SO,BA,OBP,SLG,OPS,bbType_flyBall,bbType_groundBall,bbType_lineDrive,bbType_popUp,2BperPA,3BperPA,HRperPA,BBperPA,IBBperPA,SOperPA,launch_speed_median,launch_angle_median,p1,p2,p3,p4
71,Robinson Cano,1024,455,21,286,543,103,982,0.3,0.354,0.4920000000000001,0.846,0.22051215726849452,0.4918520434557682,0.2366787377133989,0.05095706156233834,0.058953096657165076,0.0027209121534076184,0.03705623218450376,0.070355014252397,0.013345426276237369,0.12723503498315625,93.1,7.0,-2.9266316112543667,-1.670924168871979,-1.3843931185158809,2.9399159539553827
73,Matt Carpenter,734,290,27,152,664,38,994,0.267,0.371,0.457,0.828,0.3135568080688223,0.3544942153663601,0.29160486502521504,0.040047463660634816,0.05829145728643216,0.005427135678391959,0.030552763819095483,0.1334673366834171,0.007638190954773871,0.1997989949748744,92.1,20.0,-2.9073446444237945,-1.399791487631764,-1.1633815881234204,3.0154077627078832
75,Chris Carter,334,107,5,158,327,10,951,0.217,0.312,0.456,0.768,0.3299101412066752,0.3087291399229782,0.2490372272143774,0.1123234916559692,0.0375043813529618,0.0017525411847178409,0.05538030143708377,0.1146161934805468,0.0035050823694356818,0.3333333333333333,93.1,21.0,-2.9339132163208457,-1.3833878020569432,-1.1756252244001442,3.0554284004408436
77,Nicholas Castellanos,445,240,34,134,253,12,909,0.274,0.324,0.472,0.7959999999999999,0.2921886514369933,0.369933677229182,0.3014001473839352,0.036477523949889464,0.061728395061728385,0.008744855967078191,0.03446502057613169,0.06507201646090535,0.00308641975308642,0.2337962962962963,91.5,17.0,-2.8759637573164882,-1.427247557999793,-1.1748265964507247,2.99333910974014
78,Welington Castillo,251,126,1,98,183,9,692,0.254,0.313,0.425,0.738,0.2338169642857143,0.4280133928571429,0.2689732142857143,0.06919642857142858,0.046632124352331605,0.00037009622501850485,0.03626943005181347,0.06772760917838637,0.0033308660251665434,0.2561065877128053,91.3,13.5,-2.8805458403315334,-1.4863720915561351,-1.2523848941151592,2.954090219906877
79,Jason Castro,340,157,9,88,314,10,876,0.23,0.312,0.39,0.7020000000000001,0.26910994764397905,0.4246073298429319,0.25759162303664923,0.04869109947643978,0.050417469492614005,0.0028901734104046237,0.02825947334617855,0.100834938985228,0.0032113037893384713,0.2813102119460501,91.1,14.0,-2.8805662852908203,-1.4987125897781222,-1.2622088053146916,2.9401196092588626
80,Starlin Castro,673,299,40,135,312,31,1046,0.28,0.319,0.414,0.733,0.2154504688136975,0.5016306563391765,0.2284957195271097,0.05442315532001631,0.04797047970479705,0.0064174554789026145,0.02165891224129633,0.0500561527354404,0.004973527996149528,0.1678164607733034,89.7,7.0,-2.822028949545294,-1.5981535474716677,-1.3357084869385163,2.8495969674001547
82,Francisco Cervelli,281,102,16,41,270,4,505,0.268,0.358,0.382,0.74,0.2219743446737312,0.4924707194645845,0.2448410485220301,0.04071388733965421,0.03896103896103896,0.006111535523300229,0.015660809778456842,0.10313216195569136,0.0015278838808250573,0.1928953399541635,90.3,9.0,-2.8582329153678216,-1.5788121864402112,-1.3474884214592873,2.868619528859444
83,Yoenis Céspedes,475,173,24,165,240,33,742,0.273,0.327,0.4970000000000001,0.8240000000000001,0.2685221481771854,0.3802430419443356,0.2422579380635045,0.10897687181497452,0.0495702005730659,0.00687679083094556,0.04727793696275072,0.06876790830945559,0.009455587392550143,0.21260744985673352,93.35,15.0,-2.9329189383296157,-1.4954389975862608,-1.2461648886893768,3.0226334445125653
84,Matt Chapman,263,110,13,84,171,0,439,0.255,0.336,0.503,0.8390000000000001,0.257243195785777,0.3880597014925373,0.23617208077260754,0.11852502194907814,0.06235827664399093,0.0073696145124716545,0.047619047619047616,0.09693877551020408,0.0,0.24886621315192745,94.0,16.0,-2.9729883836466886,-1.503759636376949,-1.2497999067622416,3.033561229849674
85,Robinson Chirinos,252,100,4,86,203,2,561,0.231,0.325,0.431,0.755,0.2653673163418291,0.3928035982008996,0.2383808095952024,0.10344827586206896,0.047058823529411764,0.0018823529411764702,0.04047058823529412,0.09552941176470588,0.0009411764705882351,0.264,89.6,19.0,-2.8252361349188333,-1.3581071458807472,-1.135431804348237,2.9390983582228576
86,Lonnie Chisenhall,261,132,10,64,150,12,437,0.268,0.32,0.4270000000000001,0.747,0.2557358701734751,0.3928371572467823,0.2445439283715725,0.10632344711807498,0.055932203389830515,0.00423728813559322,0.02711864406779661,0.0635593220338983,0.005084745762711864,0.18516949152542367,87.5,17.0,-2.760104121797313,-1.3416053892069328,-1.1057104535444355,2.8716561564451557
87,Shin-Soo Choo,932,327,26,215,845,40,1520,0.275,0.378,0.449,0.826,0.2355254533537252,0.492462311557789,0.2425169324885296,0.029495302599956308,0.04713853250684734,0.0037480178751621743,0.030993224736917974,0.12181058094277065,0.005766181346403346,0.21911489116332708,92.6,9.0,-2.9275256094078834,-1.6394289313798613,-1.3900045224335726,2.9248910570296403
88,Chris Coghlan,353,149,26,53,275,19,535,0.258,0.334,0.398,0.731,0.2117138742198752,0.4935189630340854,0.2443590974555929,0.05040806529044648,0.05129087779690189,0.008950086058519794,0.018244406196213425,0.09466437177280553,0.006540447504302925,0.18416523235800344,89.5,9.5,-2.834123926964814,-1.549848005598297,-1.3069447329855093,2.847057943244608
89,Michael Conforto,348,121,4,118,302,20,606,0.259,0.358,0.484,0.843,0.2640911969601013,0.3932868904369855,0.2754908169727676,0.06713109563014566,0.048380647740903636,0.001599360255897641,0.047181127548980406,0.1207516993202719,0.007996801279488205,0.2423030787684926,91.2,15.0,-2.8891339116123507,-1.4621998835496486,-1.2435498219696457,2.934002826668362
90,Willson Contreras,227,90,8,74,182,7,445,0.265,0.35100000000000003,0.463,0.8140000000000001,0.18808777429467088,0.5258620689655172,0.2335423197492163,0.05250783699059562,0.047644256220222336,0.004235044997353097,0.039174166225516144,0.09634727368978296,0.00370566437268396,0.235574377977766,89.8,7.0,-2.8439959247808955,-1.6069760484842426,-1.3664360444666428,2.820966787623149
91,Carlos Correa,334,128,7,107,272,17,542,0.276,0.354,0.48,0.8340000000000001,0.20404984423676006,0.4688473520249221,0.26220145379023885,0.06490134994807893,0.04959318093762108,0.0027121270825261525,0.041456799690042616,0.1053855094924448,0.0065865943432778,0.20999612553273925,91.6,9.0,-2.908328842420938,-1.5863118846884723,-1.3533509907847943,2.8928110298101704
92,Zack Cozart,408,158,24,87,219,9,549,0.247,0.3,0.399,0.6990000000000001,0.2305630026809652,0.4343163538873995,0.23745691306013025,0.09766373037150516,0.04663518299881937,0.007083825265643448,0.025678866587957497,0.06463990554899646,0.002656434474616293,0.16204250295159384,88.3,17.0,-2.773089804082412,-1.3619519889800145,-1.126541524047983,2.8981119717596315
93,Allen Craig,239,107,3,59,143,4,394,0.276,0.333,0.435,0.768,0.2379084967320261,0.477124183006536,0.2326797385620915,0.05228758169934642,0.0531544957774466,0.0014903129657228018,0.029309488325881768,0.07103825136612021,0.001987083954297069,0.1957277694982613,84.6,5.0,-2.6878528121108327,-1.5357117267519524,-1.2980587896043296,2.6533847189696402
94,Brandon Crawford,509,234,38,106,413,65,984,0.25,0.317,0.392,0.7090000000000001,0.21506580789694765,0.4642957154858583,0.2551106132735929,0.06552786334360124,0.047648136835675016,0.007737731622887396,0.021584198737528,0.08409692526980249,0.013235593565465284,0.2003665241295052,90.8,11.0,-2.871296502767871,-1.530630484856466,-1.2940210398784338,2.9091295530504873
95,Carl Crawford,508,164,49,74,211,9,562,0.284,0.33,0.43,0.76,0.2413733609385784,0.5015527950310559,0.20169082125603865,0.05452035886818495,0.045555555555555564,0.013611111111111109,0.02055555555555556,0.05861111111111113,0.0025,0.15611111111111112,90.3,8.0,-2.8274740432938157,-1.6080365079047971,-1.3355816918405052,2.871997471411363
96,Coco Crisp,499,168,34,81,366,10,494,0.254,0.325,0.396,0.721,0.2519788918205805,0.4728609121748963,0.20015077271013945,0.07463249151903506,0.04421052631578947,0.008947368421052631,0.021315789473684208,0.09631578947368423,0.002631578947368421,0.13,86.5,15.0,-2.712587016684365,-1.3990589706640943,-1.1565510134252317,2.8083903471123413
97,C.J. Cron,283,123,6,118,148,7,583,0.257,0.312,0.464,0.775,0.23000551571980146,0.4048538334252621,0.2675124103695532,0.09707666850523994,0.047545419404715884,0.0023192887514495554,0.04561267877850792,0.0572091225357557,0.002705836876691148,0.2253575570158485,90.8,14.0,-2.86360240678504,-1.4509749182699854,-1.2202552219800358,2.940247114921299
98,Nelson Cruz,901,311,11,402,602,65,1505,0.281,0.35200000000000004,0.54,0.892,0.2841850131286609,0.42173298323571,0.21430014138557868,0.07978186225005049,0.046598741384477074,0.001648186994306263,0.060233742882828886,0.09020077914294276,0.00973928678453701,0.2255019478573569,95.3,12.0,-2.982367561480698,-1.6251617892211054,-1.3541733183798217,3.0414362772014827
99,Michael Cuddyer,489,207,25,125,301,23,642,0.282,0.343,0.468,0.8109999999999999,0.2624303232998885,0.476923076923077,0.1870680044593088,0.07357859531772576,0.05542168674698795,0.0066934404283801865,0.03346720214190094,0.08058902275769746,0.006157965194109772,0.1718875502008032,89.05000000000004,7.5,-2.8032399760063957,-1.5996320665302937,-1.3264257152695387,2.810322000381735
101,Travis d'Arnaud,221,89,5,72,158,9,383,0.253,0.314,0.423,0.737,0.22900763358778625,0.4293893129770993,0.2538167938931298,0.08778625954198473,0.04354207436399217,0.002446183953033268,0.035225048923679066,0.07729941291585128,0.004403131115459882,0.18737769080234834,91.5,13.0,-2.8863037485007594,-1.4981746185097546,-1.2639862483630795,2.9494498416926933
103,Chris Davis,707,228,5,295,555,50,1852,0.233,0.315,0.459,0.774,0.3237975479408991,0.3753536623703238,0.2492926752593524,0.05155611442942471,0.04049733570159858,0.0008880994671403197,0.052397868561278864,0.09857904085257548,0.008880994671403197,0.3289520426287744,92.6,17.0,-2.901248257081957,-1.472330068665464,-1.2371542046264807,3.0123743548172897
104,Ike Davis,260,117,2,81,294,20,538,0.239,0.332,0.414,0.746,0.2750642673521851,0.43573264781491,0.20886889460154245,0.08033419023136247,0.04891304347826087,0.0008361204013377926,0.0338628762541806,0.12290969899665552,0.008361204013377926,0.2249163879598662,89.35,2.5,-2.859110070848995,-1.6883762555806572,-1.45482164485731,2.7493161322919937
105,Khris Davis,495,159,8,218,318,10,986,0.243,0.316,0.495,0.81,0.2883227176220807,0.4021231422505308,0.2505307855626327,0.05902335456475584,0.043089430894308944,0.002168021680216802,0.05907859078590786,0.08617886178861789,0.002710027100271003,0.2672086720867209,93.4,16.0,-2.9207143612234363,-1.5008890924749387,-1.2531496618157292,3.026557790896181
106,Rajai Davis,604,214,41,61,244,4,814,0.261,0.308,0.38,0.688,0.21596783457782884,0.4695577254451465,0.21453187823090172,0.09994256174612293,0.04894784995425434,0.009377859103385178,0.013952424519670631,0.055809698078682524,0.0009149130832570906,0.18618481244281795,87.45,11.0,-2.7635209442071917,-1.4675254931218618,-1.226432765493568,2.816133397743306
107,Alejandro De Aza,353,123,31,51,219,12,585,0.262,0.329,0.401,0.7290000000000001,0.2502477700693756,0.44202180376610506,0.2527254707631318,0.05500495540138752,0.04522058823529412,0.011397058823529413,0.01875,0.08051470588235295,0.004411764705882353,0.21507352941176472,89.3,14.0,-2.812967167271431,-1.4517089470587223,-1.2187597732093813,2.8946260656918334
108,David DeJesus,429,177,39,68,327,9,554,0.271,0.344,0.41,0.754,0.2594582493843743,0.4658607566599508,0.2131184239982091,0.06156256995746586,0.047644683714670254,0.01049798115746972,0.018304172274562585,0.08802153432032303,0.002422611036339165,0.14912516823687752,88.5,11.0,-2.7853612328308364,-1.5128967561353979,-1.2608290245588534,2.8338469061760287
109,Paul DeJong,237,88,3,77,136,4,446,0.251,0.319,0.455,0.774,0.2764158918005072,0.3406593406593407,0.2688081149619611,0.1132713440405748,0.049689440993788817,0.0016939582156973462,0.043478260869565216,0.07679277244494635,0.002258610954263128,0.2518351214003388,89.8,19.0,-2.8373315709087352,-1.3362877654446241,-1.1200380453009713,2.9515837668370617
110,Chris Denorfia,267,94,17,39,170,7,378,0.271,0.328,0.392,0.721,0.17554683118339875,0.5816040381379697,0.20302860347728546,0.03982052720134605,0.042323277802791534,0.0076542098153984705,0.017559657811796487,0.07654209815398469,0.0031517334533993696,0.17019360648356596,91.8,7.0,-2.8803043670589603,-1.66661953615286,-1.3948692297480156,2.906787445446284
112,Daniel Descalso,326,126,25,48,303,28,600,0.235,0.32,0.362,0.6829999999999999,0.2363013698630137,0.4481409001956947,0.24217221135029354,0.07289628180039139,0.043553404770134814,0.008641548565502939,0.01659177324576564,0.10473556861389563,0.00967853439336329,0.20739716557207047,89.4,15.0,-2.8251550780087924,-1.4361065242979383,-1.21289586076266,2.8991689058967567
113,Delino DeShields,298,76,19,18,202,1,476,0.246,0.326,0.34,0.6659999999999999,0.188353702372394,0.5240833932422717,0.22429906542056074,0.06326383896477354,0.03696498054474708,0.00924124513618677,0.008754863813229572,0.09824902723735407,0.00048638132295719845,0.2315175097276265,87.0,10.0,-2.760986297225219,-1.4918612081693343,-1.2783137165779141,2.7780264506740657
114,Ian Desmond,724,277,37,181,387,13,1402,0.263,0.315,0.4270000000000001,0.742,0.19764649375600385,0.5273775216138329,0.2149375600384246,0.06003842459173873,0.046601615074024216,0.006224764468371467,0.030450874831763126,0.06510767160161507,0.002187079407806191,0.23586810228802155,91.2,3.0,-2.8852244912852,-1.711574188628501,-1.4525908818982496,2.841800264745548
115,Rafael Devers,254,108,5,74,117,16,364,0.279,0.332,0.498,0.83,0.21785421785421785,0.4660114660114661,0.2391482391482392,0.07698607698607697,0.06428571428571428,0.002976190476190476,0.04404761904761905,0.06964285714285715,0.009523809523809523,0.21666666666666667,93.35,10.0,-2.943761602518299,-1.6115663423883073,-1.3346215548743126,2.971995469056269
116,Corey Dickerson,400,195,30,122,183,27,654,0.284,0.327,0.4970000000000001,0.8240000000000001,0.2307692307692308,0.3999125874125874,0.28277972027972026,0.08610139860139861,0.062439961575408265,0.009606147934678195,0.039065001601024656,0.05859750240153699,0.008645533141210375,0.20941402497598466,89.6,15.0,-2.8306031382645687,-1.407329446368078,-1.1679069091911352,2.9094910861346626
117,Derek Dietrich,318,107,21,84,181,14,576,0.245,0.335,0.428,0.762,0.2427958307786634,0.4003678724708768,0.2611894543225015,0.0956468424279583,0.04257859132510943,0.008356545961002786,0.033426183844011144,0.07202546756864306,0.0055710306406685246,0.22920811778750494,87.8,16.0,-2.7720573768894377,-1.3558545630108791,-1.1467869566333366,2.86408194372734
119,Josh Donaldson,666,228,12,225,575,19,909,0.272,0.369,0.508,0.877,0.2456473567584679,0.4343146565368788,0.2367837923393479,0.08325419436530547,0.04980340760157274,0.002621231979030144,0.0491480996068152,0.1256006989951944,0.004150283966797728,0.19855832241153346,94.15,12.0,-2.977596044046013,-1.5952567223070164,-1.348761645889421,2.989829198830072
121,Brian Dozier,664,231,21,192,488,18,973,0.244,0.325,0.441,0.767,0.2874743326488706,0.3839835728952772,0.21560574948665293,0.11293634496919915,0.047142857142857146,0.004285714285714286,0.03918367346938775,0.09959183673469388,0.0036734693877551023,0.19857142857142854,90.2,19.0,-2.833649937149818,-1.3783338412282904,-1.140900648611768,2.955660695100928
123,Stephen Drew,478,217,52,106,361,24,776,0.25,0.317,0.425,0.742,0.3266039823008849,0.3711283185840708,0.21211283185840707,0.09015486725663716,0.05329076620825148,0.012770137524557957,0.02603143418467584,0.08865422396856583,0.005893909626719057,0.1905697445972495,89.2,18.0,-2.7966231092878644,-1.3883098261227658,-1.1362647656385099,2.921842384460349
124,Brandon Drury,154,97,4,47,95,3,353,0.248,0.29600000000000004,0.411,0.7070000000000001,0.17783505154639176,0.4785223367697594,0.26374570446735396,0.07989690721649484,0.05987654320987655,0.0024691358024691358,0.029012345679012345,0.05864197530864197,0.001851851851851852,0.21790123456790125,89.2,10.0,-2.8326888349261266,-1.5079288809792313,-1.2650572816177876,2.8533603317189296
125,Lucas Duda,387,171,4,156,394,33,879,0.239,0.334,0.448,0.782,0.33713784021071114,0.3261633011413521,0.2559262510974539,0.08077260755048288,0.0477520245741413,0.0011170064227869311,0.043563250488690315,0.1100251326445127,0.00921530298799218,0.2454621614074281,92.3,20.0,-2.9013853549416133,-1.3976564542377714,-1.1643155296104062,3.029587153165383
126,Matt Duffy,194,74,9,22,120,1,285,0.282,0.338,0.38,0.718,0.16297935103244834,0.5361356932153393,0.27359882005899705,0.027286135693215342,0.04178430265386787,0.005081874647092038,0.012422360248447204,0.06775832862789384,0.000564652738565782,0.16092603049124787,90.2,6.0,-2.856017692051263,-1.6147542184747596,-1.37690113497556,2.853250380552933
128,Adam Duvall,276,104,10,113,148,6,590,0.233,0.293,0.468,0.7609999999999999,0.3131170662905501,0.3236953455571227,0.2447108603667137,0.11777150916784206,0.047926267281106,0.004608294930875576,0.05207373271889401,0.06820276497695853,0.002764976958525345,0.271889400921659,90.4,22.0,-2.831227465151795,-1.3030379456092245,-1.0731948260862338,3.0012794515826875
129,Jarrod Dyson,370,76,36,21,232,8,444,0.246,0.317,0.334,0.6509999999999999,0.15742128935532235,0.5687156421789106,0.1979010494752624,0.07596201899050475,0.028326500186358555,0.013417815877748788,0.007827059262020127,0.08647036898993664,0.002981736861721953,0.1654863958255684,84.5,8.0,-2.6722537836380966,-1.4767437073503922,-1.2677663944015296,2.683761374709055
130,Adam Eaton,528,157,44,60,324,5,608,0.282,0.36,0.416,0.775,0.17258124766529698,0.5353007097497199,0.2379529323870004,0.05416511019798281,0.04334621755935947,0.012147984538928768,0.016565433462175594,0.0894533406957482,0.0013804527885146328,0.16786305908337934,90.1,8.0,-2.8505095041895965,-1.587237854156794,-1.348393921985575,2.852439799630676
131,A.J. Ellis,194,82,3,44,280,22,414,0.239,0.34,0.35200000000000004,0.693,0.2461538461538461,0.4646153846153846,0.2301538461538461,0.059076923076923075,0.03560573165436387,0.0013026487190620929,0.01910551454624403,0.121580547112462,0.009552757273122015,0.17976552323056882,89.6,13.0,-2.8292368811456305,-1.4917007792236971,-1.268268210449532,2.881988120045078
133,Jacoby Ellsbury,729,234,46,101,391,19,722,0.282,0.341,0.415,0.7559999999999999,0.21791880541297245,0.483434437704153,0.2221185254316379,0.07489500699953336,0.04458841463414634,0.008765243902439025,0.01924542682926829,0.07450457317073171,0.003620426829268293,0.13757621951219512,88.1,10.0,-2.7774052026366416,-1.5063950292972148,-1.2637722253116799,2.817546759382945
134,Edwin Encarnacion,948,296,8,384,803,45,1202,0.258,0.35,0.505,0.855,0.28655578655578656,0.3671171171171171,0.2243589743589744,0.1217948717948718,0.043117261471230885,0.001165331391114348,0.05593590677348871,0.11697013838310268,0.006554989075018208,0.1750910415149308,91.8,17.0,-2.8906988129701277,-1.438357363818778,-1.208693661218945,2.9696811138476344
135,Alcides Escobar,605,224,54,41,231,17,776,0.258,0.293,0.343,0.636,0.2131628589394257,0.4950744078809474,0.22301404317753093,0.06874869000209599,0.039284461592423714,0.009470361276745002,0.007190459487898983,0.04051210101718696,0.002981410031567871,0.13609259908803928,86.1,10.0,-2.70453102163626,-1.4593290352259685,-1.2194501065148515,2.77914216542798
136,Eduardo Escobar,426,189,32,110,245,21,712,0.257,0.308,0.43,0.7390000000000001,0.2836484983314794,0.38338895068594736,0.2617723396366333,0.07119021134593992,0.05148460909833832,0.008716970852628712,0.0299645873059112,0.06673930809043857,0.005720512122037592,0.19395260147098886,88.6,18.0,-2.7795893917120447,-1.3502460021143528,-1.1124061623254187,2.914945197821398
137,Yunel Escobar,635,233,12,85,482,15,640,0.28,0.348,0.382,0.73,0.20698412698412694,0.5612698412698413,0.1995767195767196,0.03216931216931217,0.041607142857142856,0.002142857142857143,0.015178571428571428,0.08607142857142858,0.002678571428571429,0.11428571428571427,90.8,3.0,-2.8597088773019452,-1.7274784477149556,-1.4546004019030723,2.8331593018885397
138,Danny Espinosa,367,139,12,98,242,32,943,0.221,0.297,0.378,0.675,0.2446861097380129,0.4661393969352447,0.20217498764211567,0.08699950568462679,0.04254667891031527,0.003673094582185491,0.02999693908784818,0.07407407407407407,0.009794918885827977,0.2886440159167432,89.4,15.0,-2.805151287436946,-1.4490310581694423,-1.2074973000306457,2.910440751076682
139,Andre Ethier,541,251,25,138,439,54,793,0.282,0.359,0.463,0.8220000000000001,0.2895,0.42575,0.23175,0.053,0.05605180884323359,0.005582849486377847,0.03081732916480572,0.098034836980795,0.01205895489057615,0.17708798570790532,88.25,13.0,-2.778128102365067,-1.4680109254388884,-1.2151937972739837,2.838447131367023
140,Prince Fielder,669,247,7,239,696,138,892,0.28300000000000003,0.385,0.495,0.88,0.2828012358393409,0.4280123583934088,0.2160659114315139,0.07291452111225541,0.045221530574880986,0.001281581838154522,0.04375686561699011,0.12742585133650675,0.025265470523617724,0.1633101428048334,91.5,9.0,-2.8887213910476732,-1.605550135605568,-1.3598861945843437,2.883298232123067
142,Wilmer Flores,275,125,3,89,133,7,328,0.268,0.31,0.439,0.75,0.25084910237748664,0.3852498786996604,0.2610383309073265,0.10286268801552644,0.04982064567556795,0.0011956954962136306,0.03547229972100439,0.053009166998804313,0.002789956157831805,0.13072937425269032,89.0,16.0,-2.7989460877097128,-1.3777484896780359,-1.1400020428253672,2.912115781729129
143,Tyler Flowers,267,111,5,86,227,6,852,0.237,0.319,0.391,0.71,0.2337423312883436,0.4484662576687117,0.2478527607361964,0.06993865030674846,0.03998559077809798,0.0018011527377521613,0.030979827089337175,0.08177233429394813,0.0021613832853025943,0.3069164265129683,92.0,11.0,-2.9116294968111855,-1.5602493024092439,-1.3327975312444793,2.9462447003439607
144,Logan Forsythe,389,150,13,71,343,9,757,0.244,0.326,0.369,0.695,0.2744531572430871,0.4292199752373092,0.24473792818819645,0.051176227816756084,0.0423728813559322,0.0036723163841807906,0.02005649717514124,0.09689265536723164,0.002542372881355932,0.21384180790960453,90.55,13.0,-2.8562303756885403,-1.5072646650166261,-1.2709701018891353,2.9199883842503582
145,Dexter Fowler,814,253,82,127,739,16,1320,0.259,0.358,0.418,0.7759999999999999,0.2598001537279016,0.4386369459390213,0.2490392006149116,0.05252369971816551,0.04301989457575242,0.013943206937595648,0.021594966842373747,0.1256589015473559,0.0027206257439211018,0.2244516238734909,88.7,13.0,-2.8126438331697226,-1.4683569736683304,-1.2545286413023202,2.8395861090140024
147,Maikel Franco,302,126,4,110,189,39,427,0.252,0.304,0.433,0.737,0.19211136890951275,0.4626450116009281,0.23526682134570764,0.10997679814385153,0.04529115744069015,0.0014378145219266715,0.039539899352983465,0.06793673616103522,0.014018691588785048,0.15348670021567218,89.9,10.0,-2.839785000047863,-1.5153817709437516,-1.279560550128337,2.8699268760483445
148,Jeff Francoeur,418,197,20,98,208,34,761,0.253,0.297,0.396,0.693,0.2767501756029033,0.431046593303676,0.1936314680402716,0.09833762584874736,0.04918851435705368,0.004993757802746567,0.024469413233458182,0.05193508114856429,0.008489388264669164,0.19001248439450685,88.6,11.0,-2.7825210467777572,-1.5032912030411563,-1.2424781699063798,2.8535322772987723
149,Adam Frazier,230,91,16,35,134,8,246,0.273,0.336,0.413,0.7490000000000001,0.20214285714285715,0.4542857142857143,0.2935714285714286,0.05,0.05044345898004435,0.008869179600886918,0.01940133037694013,0.07427937915742794,0.004434589800443459,0.13636363636363635,88.9,11.0,-2.8169093416869906,-1.475654562346016,-1.24803284650762,2.852537229685436
150,Todd Frazier,601,211,15,218,435,12,1079,0.242,0.319,0.448,0.767,0.26785714285714285,0.3696428571428572,0.25148809523809523,0.11071428571428572,0.0429822774495824,0.003055612140965573,0.044408229782032994,0.08861275208800162,0.002444489712772459,0.21980036667345693,90.15,18.0,-2.841896003375859,-1.3715283673297736,-1.1541866769729536,2.9469816266370183
151,Freddie Freeman,849,342,23,240,691,87,1205,0.295,0.383,0.509,0.892,0.28112745098039216,0.3764705882352941,0.3044117647058823,0.03799019607843137,0.05733445096395641,0.0038558256496228,0.040234702430846606,0.11584241408214585,0.014585079631181894,0.20201173512154236,93.0,16.0,-2.9378377049756135,-1.4785846772792932,-1.2401704654107413,3.007308073280268
152,David Freese,481,197,7,113,370,11,974,0.277,0.35100000000000003,0.423,0.775,0.19203509956125547,0.5376307796152549,0.24333445831927106,0.0269996625042187,0.0465831165760227,0.001655237644833294,0.02672026483802317,0.0874911326554741,0.002601087727595176,0.23031449515251834,93.2,5.0,-2.947502973133756,-1.7206368206567313,-1.46075417058363,2.9218248292005375
155,Joey Gallo,262,68,6,120,250,14,672,0.208,0.327,0.499,0.825,0.3557919621749409,0.3026004728132388,0.2352245862884161,0.10638297872340426,0.0380952380952381,0.0033613445378151267,0.06722689075630252,0.1400560224089636,0.007843137254901959,0.3764705882352941,95.5,23.0,-2.9994030287211713,-1.4114713505357093,-1.1946207610363948,3.1339409613566573
156,Freddy Galvis,383,156,26,95,214,14,775,0.247,0.292,0.385,0.677,0.2506168487839267,0.4205146281283045,0.2520267888614734,0.07684173422629538,0.040593286494925836,0.0067655477491543065,0.024720270621909967,0.055685662243039294,0.0036429872495446266,0.20166536559979184,89.2,15.0,-2.8008912417543246,-1.4151748399400443,-1.18411162816668,2.913490502817938
157,Avisail Garcia,385,123,16,98,200,16,756,0.271,0.324,0.422,0.746,0.19217238346525944,0.5167106420404574,0.2458223394898857,0.04529463500439754,0.038033395176252316,0.004947433518862091,0.030303030303030307,0.061842918985776124,0.004947433518862091,0.23376623376623376,91.0,8.0,-2.863759000723526,-1.5992020365658641,-1.357251902391823,2.8942510118118836
158,Leury Garcia,192,55,11,26,61,1,388,0.257,0.293,0.36,0.653,0.15752828546562228,0.5543951261966927,0.2550043516100957,0.033072236727589216,0.034097954122752634,0.006819590824550527,0.016119032858028518,0.03781773093614383,0.0006199628022318662,0.24054556726596404,88.8,5.0,-2.8020550049584654,-1.604027685628178,-1.3722120522263972,2.8121810139123093
159,Brett Gardner,896,235,69,129,639,6,1146,0.259,0.343,0.401,0.743,0.2148816234498309,0.4910935738444194,0.22187147688838785,0.07215332581736189,0.03818654533636659,0.011212219694507638,0.020961975950601237,0.10383490412739682,0.0009749756256093598,0.18622034449138766,89.5,10.0,-2.83114713283738,-1.540532256488815,-1.3135472614661785,2.845820415732677
160,Evan Gattis,299,116,12,139,167,18,575,0.248,0.3,0.476,0.775,0.25743589743589745,0.4112820512820513,0.2261538461538461,0.10512820512820513,0.04357625845229151,0.0045078888054094655,0.052216378662659664,0.06273478587528174,0.0067618332081142,0.2160030052592036,89.8,15.0,-2.813335175456771,-1.4300635943506625,-1.1909561103126798,2.913696655674186
161,Scooter Gennett,365,149,16,87,156,15,571,0.28600000000000003,0.327,0.449,0.7759999999999999,0.2146814404432133,0.4427516158818098,0.27516158818097874,0.06740535549399815,0.051185159738921335,0.005496392992098935,0.029886636894537962,0.05358983167296462,0.005152868430092753,0.1961525249055308,88.8,13.0,-2.8007542647998434,-1.437228331025305,-1.2023411746894097,2.876477931907975
163,Ryan Goins,154,71,12,22,108,1,371,0.228,0.278,0.333,0.611,0.17689822294022614,0.5468497576736672,0.21324717285945072,0.0630048465266559,0.04201183431952663,0.007100591715976331,0.01301775147928994,0.06390532544378698,0.0005917159763313611,0.2195266272189349,89.1,6.0,-2.81778264247656,-1.611251088907223,-1.3657591943439709,2.8173295365912074
164,Paul Goldschmidt,837,305,20,249,770,105,1268,0.293,0.392,0.522,0.914,0.2440244580322401,0.4230127848804892,0.2779321845469705,0.05447470817120623,0.05426080768546522,0.003558085749866572,0.04429816758583882,0.136986301369863,0.0186799501867995,0.22558263654154065,93.2,13.0,-2.9568883244847406,-1.5468856327523661,-1.315121222209365,2.9696977123171306
