,Name,R,2B,3B,HR,BB,IBB,SO,BA,OBP,SLG,OPS,bbType_flyBall,bbType_groundBall,bbType_lineDrive,bbType_popUp,2BperPA,3BperPA,HRperPA,BBperPA,IBBperPA,SOperPA,launch_speed_mean,launch_angle_mean,p1,p2,p3,p4
167,Carlos Gomez,661,233,41,143,311,7,1232,0.252,0.313,0.414,0.727,0.2441209406494961,0.4479283314669653,0.2074468085106383,0.10050391937290032,0.0457940251572327,0.008058176100628929,0.028105345911949686,0.06112421383647799,0.0013757861635220125,0.24213836477987424,87.84138232720909,15.153980752405946,-1.9297349143815496,-1.294179414959128,-0.7013516908258617,3.24872564749924
168,Adrian Gonzalez,789,343,7,256,653,138,1105,0.28800000000000003,0.361,0.484,0.846,0.2854244166384849,0.4168075752451809,0.2475481907338519,0.05021981738248225,0.05285868392664509,0.0010787486515641855,0.0394513792572045,0.10063183849591616,0.0212667591308368,0.17028817999691787,88.33150470219435,12.268025078369904,-1.9433793230355356,-1.2683400616903542,-0.6650404946165096,3.269279996422231
170,Carlos Gonzalez,821,302,40,234,448,55,1240,0.285,0.343,0.5,0.843,0.2001034126163392,0.4700103412616339,0.2536194415718718,0.07626680455015512,0.05441441441441442,0.0072072072072072065,0.04216216216216216,0.08072072072072073,0.00990990990990991,0.22342342342342345,89.40934131736526,7.844311377245509,-1.9912078159401536,-1.2147424981404462,-0.6130472631981024,3.3379319103147913
171,Marwin Gonzalez,370,162,8,96,227,10,681,0.261,0.317,0.412,0.7290000000000001,0.2024661893396977,0.4773269689737471,0.2553699284009546,0.06483691328560064,0.04808548530721282,0.0023745918670228555,0.02849510240427426,0.06737904422677353,0.0029682398337785693,0.20213713268032055,89.07312231759657,11.265557939914165,-1.970585768658201,-1.2549224572967765,-0.656314818746798,3.3217928488299857
172,Alex Gordon,807,321,22,175,643,44,1398,0.258,0.34,0.41,0.7509999999999999,0.28665997993981945,0.4132397191574724,0.2365095285857573,0.0633901705115346,0.048277936531809285,0.003308768235824936,0.026319747330425632,0.09670627161979244,0.006617536471649872,0.2102571815310573,87.5752096436059,12.395702306079665,-1.939152946069272,-1.263871913050666,-0.6758784547216375,3.24175979729398
173,Yasmani Grandal,401,143,7,149,487,9,831,0.24,0.348,0.445,0.7929999999999999,0.2517037710131758,0.4393457519309405,0.2276238073602908,0.0813266696955929,0.04102122776821572,0.002008032128514056,0.04274239816408491,0.13970166379804935,0.002581755593803787,0.23838209982788294,89.92209026128265,13.521687462863936,-1.9962294500023592,-1.3115435964423006,-0.7284136990370428,3.2936653989966054
174,Curtis Granderson,985,270,59,294,793,28,1550,0.241,0.336,0.459,0.795,0.3388518985063884,0.3638653949973007,0.2195429188411013,0.07773978765520964,0.04000592680397096,0.008742035857164024,0.04356200918654615,0.11749888872425544,0.0041487627796710615,0.2296636538746481,88.39321428571432,18.52380952380953,-1.9332500758485676,-1.3498195765209424,-0.770850856774507,3.214232808096889
175,Didi Gregorius,451,155,21,120,216,18,509,0.265,0.315,0.433,0.748,0.2438608458390177,0.4075716234652115,0.2418144611186903,0.10675306957708047,0.0428295109146173,0.005802707930367505,0.033158331030671465,0.059684995855208624,0.004973749654600719,0.1406465874550981,85.89230114844746,15.355168013611227,-1.8903171415117537,-1.2388438653585205,-0.67629700572389,3.1747425720812212
176,Randal Grichuk,352,153,20,134,156,6,748,0.246,0.295,0.483,0.778,0.26991150442477874,0.3871681415929204,0.23783185840707965,0.10508849557522124,0.0565410199556541,0.007390983000739098,0.04951958610495196,0.057649667405764965,0.0022172949002217295,0.2764227642276423,90.26036838978014,16.25906120023767,-1.985411911269505,-1.323721689812088,-0.716164397513097,3.3255730707771356
177,Robbie Grossman,319,131,10,50,345,5,574,0.252,0.35,0.38,0.73,0.2438490978676873,0.4149808638600328,0.2761071623838163,0.06506287588846364,0.04767103347889374,0.00363901018922853,0.018195050946142648,0.12554585152838427,0.001819505094614265,0.2088791848617176,87.07782705099777,13.595713229859571,-1.9559664900938771,-1.2518503184095964,-0.7009619318381256,3.2013668397899058
179,Yuli Gurriel,264,135,5,71,99,3,229,0.287,0.324,0.468,0.792,0.20795107033639146,0.42456676860346587,0.2680937818552497,0.09938837920489296,0.06379962192816635,0.002362948960302457,0.0335538752362949,0.04678638941398866,0.0014177693761814744,0.10822306238185256,89.51972265023113,12.109912686183872,-1.984119689964787,-1.2470081549254106,-0.6315966086116194,3.3392610276596786
180,Franklin Gutierrez,330,128,7,83,203,11,630,0.255,0.312,0.404,0.716,0.2826362484157161,0.4621884241656105,0.180397127165188,0.07477820025348543,0.044290657439446365,0.002422145328719723,0.028719723183391006,0.07024221453287198,0.0038062283737024228,0.2179930795847751,90.98427672955977,9.477987421383649,-1.9911521509564083,-1.3028126470441974,-0.6559705672193732,3.4049798290361957
181,Jedd Gyorko,317,111,5,121,248,6,670,0.245,0.31,0.424,0.735,0.2740126767430522,0.4100438810336421,0.25109702584105315,0.06484641638225255,0.0372108615487764,0.0016761649346295675,0.040563191418035535,0.08313778075762655,0.002011397921555481,0.22460610124036204,87.51594415870683,15.060984570168994,-1.9231876663202137,-1.2788467176682654,-0.7102598328743474,3.2264531765977815
185,Billy Hamilton,416,101,36,22,224,1,648,0.241,0.29600000000000004,0.325,0.621,0.17252112049799911,0.4642063139172966,0.27612272120942644,0.0871498443752779,0.03232,0.01152,0.00704,0.07168,0.00032,0.20736,81.5572472594397,12.866017052375152,-1.8329808938243675,-1.137162218144029,-0.6477623657678014,3.024402540009745
186,Josh Hamilton,557,217,22,181,319,51,873,0.29,0.348,0.513,0.86,0.31141321530192856,0.4151122352197281,0.2352197281062283,0.03825482137211508,0.05407425865935709,0.00548218290555694,0.04510341390480937,0.07949165213057563,0.01270869673560927,0.2175429852977822,87.9810606060606,9.727272727272727,-1.930326900907242,-1.2461669747705029,-0.6302396026768735,3.2747737562445245
187,Ryan Hanigan,189,70,1,30,254,39,288,0.251,0.344,0.334,0.6779999999999999,0.20899007589025104,0.5055458260361938,0.2253356684179801,0.060128429655575015,0.031000885739592563,0.00044286979627989367,0.013286093888396813,0.112488928255093,0.017271922054915855,0.1275465013286094,84.22014134275618,7.1978798586572434,-1.875352870319691,-1.1536066992579093,-0.6028434439323799,3.149301399554653
189,J.J. Hardy,570,234,12,148,317,16,816,0.255,0.302,0.404,0.705,0.26337943475646425,0.4582080577269994,0.1846061334936861,0.09360593305271596,0.04583741429970617,0.0023506366307541626,0.028991185112634668,0.062095984329089124,0.0031341821743388837,0.15984329089128305,88.29272517321016,10.60161662817552,-1.9340895251987567,-1.2630930088404657,-0.6399157290101746,3.2976934802780073
190,Bryce Harper,749,228,21,232,733,89,1055,0.276,0.387,0.513,0.9,0.2479153303399615,0.4239897370109044,0.2658755612572162,0.0622193713919179,0.04669260700389105,0.0043006348556215435,0.04751177554781896,0.15011263567479008,0.01822650010239607,0.2160557034609871,90.7440313111546,14.336594911937375,-2.0138172938119205,-1.3156854366076092,-0.7336166279830117,3.316052851219434
191,Josh Harrison,384,163,28,56,132,5,495,0.273,0.314,0.402,0.716,0.2660693416439424,0.41332294507206857,0.25321386832878845,0.06739384495520062,0.050169282856263465,0.008618036318867343,0.017236072637734686,0.040627885503231764,0.0015389350569405972,0.1523545706371191,85.828007518797,14.760651629072681,-1.8842447764291967,-1.245578619364204,-0.663040061570391,3.1919875071739168
192,Corey Hart,422,173,21,127,227,12,684,0.267,0.326,0.47,0.7959999999999999,0.3315363881401617,0.4211590296495957,0.1849730458221024,0.062331536388140166,0.05359355638166047,0.006505576208178439,0.03934324659231722,0.07032218091697645,0.0037174721189591076,0.21189591078066916,81.08333333333333,4.5,-1.796283507074489,-1.1057886676494952,-0.5256474224044098,3.041340274811024
194,Chase Headley,636,271,16,130,572,30,1294,0.263,0.343,0.4,0.742,0.25383216419849314,0.452325279293323,0.2392829306313328,0.05455962587685114,0.04721254355400697,0.002787456445993032,0.02264808362369338,0.09965156794425087,0.005226480836236934,0.2254355400696864,86.9657142857143,11.693877551020408,-1.930699523633534,-1.250353115930227,-0.66945235301702,3.2226068595791935
195,Adeiny Hechavarria,311,116,36,37,163,20,550,0.253,0.29100000000000004,0.35100000000000003,0.6409999999999999,0.188400155702608,0.5072012456208641,0.2487349163098482,0.05566368236667965,0.03527980535279805,0.010948905109489052,0.011253041362530414,0.049574209245742094,0.006082725060827251,0.16727493917274938,87.49960343688036,9.547257105089226,-1.9276902335726513,-1.2099972769272944,-0.6272026783088509,3.289099425333366
196,Chris Heisey,218,69,12,62,110,6,414,0.238,0.29600000000000004,0.413,0.71,0.27100494233937394,0.37891268533772654,0.2084019769357496,0.1416803953871499,0.03924914675767918,0.006825938566552901,0.03526734926052332,0.06257110352673492,0.0034129692832764505,0.2354948805460751,86.51061452513966,20.3854748603352,-1.8973757565573635,-1.313310165682952,-0.7571810174697123,3.1624620880273357
198,Cesar Hernandez,442,133,27,49,349,15,677,0.277,0.35200000000000004,0.383,0.736,0.16399999999999998,0.5356,0.2572,0.0432,0.0375388089189952,0.007620660457239628,0.013830087496471915,0.09850409257691224,0.004233700254022015,0.1910810047981936,86.18721973094169,7.34245960502693,-1.9259049693515844,-1.1757720114545729,-0.6154900992151818,3.2232498876571642
199,Enrique Hernandez,252,94,12,71,184,11,417,0.24,0.313,0.425,0.738,0.25758597437626435,0.4086311530681052,0.2360080917060013,0.09777478084962914,0.046812749003984064,0.0059760956175298795,0.0353585657370518,0.09163346613545817,0.005478087649402391,0.20766932270916336,88.87708179808399,15.649963154016213,-1.9626840126519927,-1.3015099765396068,-0.7174366034510378,3.2682398993071744
201,Odubel Herrera,294,122,16,60,171,14,544,0.276,0.333,0.423,0.7559999999999999,0.18789263278126786,0.4660194174757282,0.2712735579668761,0.07481439177612792,0.04895666131621188,0.006420545746388443,0.024077046548956663,0.06861958266452649,0.005617977528089888,0.21829855537720708,87.58016480282521,10.31622418879056,-1.9556829245556502,-1.2070716870047702,-0.6354141762583884,3.268317811353449
202,Jason Heyward,731,249,36,150,606,23,1001,0.261,0.345,0.414,0.758,0.19541875447387252,0.4900978286805058,0.22190408017179672,0.0921021235981866,0.04322166290574553,0.006248915118902968,0.02603714632876237,0.10519007116819996,0.0039923624370768965,0.17375455650060753,87.86135639508421,9.818843878015477,-1.9567321180131663,-1.2295113306129906,-0.6478482149358825,3.260970264016203
203,Aaron Hicks,352,99,12,88,337,5,562,0.235,0.332,0.402,0.7340000000000001,0.2407108239095315,0.4528809908454496,0.22670974690360798,0.07969843834141087,0.03670745272525028,0.004449388209121246,0.03262884686688913,0.12495365220615498,0.0018539117538005192,0.20837968112717836,88.6203778677463,12.182186234817813,-1.9672484329797448,-1.274017599611021,-0.6998397116243903,3.2641692021027926
204,Aaron Hill,530,225,14,136,326,15,638,0.258,0.316,0.418,0.7340000000000001,0.2997542997542997,0.3871826371826372,0.2242014742014742,0.08845208845208845,0.04948317572025511,0.003078953155926985,0.029909830657576426,0.07169562348801407,0.003298878381350341,0.14031229382010116,87.33034591194969,14.977987421383649,-1.9160917870813547,-1.2816505260432396,-0.6845373292522204,3.228157683440433
205,Matt Holliday,785,318,11,213,626,46,962,0.29,0.378,0.49,0.8690000000000001,0.2543489275460226,0.4610707650734674,0.21516635703428474,0.0692450599560885,0.05640297978006385,0.0019510464703795672,0.03777935438098617,0.11103228095069173,0.008158921603405462,0.17062788222774036,91.1726708074534,9.8,-2.0139047065833235,-1.2973738049634096,-0.6580745377381662,3.3828815537835286
206,Brock Holt,295,114,16,23,210,3,459,0.268,0.337,0.369,0.7070000000000001,0.17011494252873566,0.5333333333333333,0.25862068965517243,0.03793103448275862,0.04748021657642649,0.0066638900458142435,0.009579341940857976,0.08746355685131195,0.0012494793835901706,0.1911703456892961,86.55510040160642,7.897188755020079,-1.9334353794364394,-1.193283189766335,-0.6141632391513896,3.240302702391429
207,Rhys Hoskins,247,87,5,91,269,9,411,0.24,0.366,0.495,0.861,0.3425309229305423,0.2987630827783064,0.2350142721217888,0.12274024738344436,0.049403747870528106,0.0028392958546280523,0.05167518455423055,0.15275411697898922,0.005110732538330494,0.2333901192504259,89.58620689655174,22.788314176245212,-1.9829610290721036,-1.3962587410493916,-0.8323236139839274,3.2104361751929256
208,Eric Hosmer,714,272,20,176,471,46,1047,0.278,0.336,0.435,0.7709999999999999,0.18385148736300605,0.5502124804294342,0.21829568329232835,0.04764034891523149,0.04615645681316816,0.0033938571186153065,0.029865942643814692,0.07992533514339048,0.007805871372815205,0.1776684201595113,90.20454545454544,3.36271053662358,-1.9954458179829242,-1.2068310960759554,-0.571630440581796,3.407201926452168
209,Ryan Howard,593,204,18,253,459,74,1350,0.247,0.324,0.483,0.807,0.32952286282306165,0.3991053677932406,0.24478131212723656,0.026590457256461232,0.04259761954479015,0.003758613489246189,0.052829400709960325,0.09584464397577784,0.015452077678012113,0.2818960116934642,91.60146788990824,15.611009174311926,-1.9890246706288874,-1.3666972266443853,-0.7466796845955589,3.371521624347266
212,Nick Hundley,319,169,20,93,219,18,810,0.247,0.299,0.405,0.703,0.25610278372591005,0.4107066381156317,0.24325481798715204,0.08993576017130621,0.05010376519418915,0.005929439667951379,0.02757189445597391,0.0649273643640676,0.005336495701156241,0.24014230655203084,88.88014705882351,12.793067226890754,-1.970037219240636,-1.2664057227759824,-0.6739726760178886,3.3033399772521816
213,Torii Hunter,624,239,13,161,342,20,871,0.28300000000000003,0.339,0.454,0.7929999999999999,0.2641025641025641,0.4878917378917379,0.17193732193732195,0.07578347578347579,0.04981242184243435,0.002709462275948312,0.033555648186744474,0.0712796998749479,0.0041684035014589406,0.1815339724885369,88.40629539951574,10.786924939467314,-1.927996899651743,-1.2857109953005241,-0.6475309505922829,3.293368307267907
214,Chris Iannetta,415,169,8,135,534,24,949,0.23,0.345,0.41,0.755,0.30230769230769233,0.395,0.215,0.0876923076923077,0.04304635761589404,0.0020376974019358125,0.03438614365766684,0.1360163015792155,0.0061130922058074385,0.24172185430463575,89.90941704035878,14.326233183856502,-1.9941282781551377,-1.3266632017948716,-0.7366521563193715,3.2946293122675905
216,José Iglesias,325,163,12,35,135,6,370,0.278,0.319,0.381,0.7,0.15045293422607325,0.5281606931862938,0.2382827884994092,0.08310358408822371,0.05319843342036554,0.0039164490861618795,0.011422976501305485,0.04406005221932115,0.0019582245430809398,0.12075718015665796,83.99431279620853,8.174407582938388,-1.8710069549789672,-1.1438851689733207,-0.5669945630940421,3.162038478836906
217,Ender Inciarte,435,136,28,40,232,11,425,0.282,0.335,0.385,0.72,0.17105263157894735,0.5078947368421053,0.2729323308270677,0.0481203007518797,0.04090225563909775,0.008421052631578947,0.012030075187969927,0.06977443609022556,0.003308270676691729,0.12781954887218044,84.06113636363636,9.191363636363636,-1.8707793341565606,-1.1502551732351085,-0.6016390001526214,3.1463070860756814
218,Omar Infante,417,179,36,50,196,8,470,0.278,0.313,0.387,0.7,0.2869510135135135,0.40878378378378377,0.21283783783783786,0.09142736486486487,0.04513363590519415,0.009077155824508321,0.01260716086737267,0.04942007060010085,0.002017145738779627,0.11850731215330307,84.5991507430998,14.072186836518044,-1.8552311646895274,-1.2318662739260655,-0.6523630923057069,3.1456415749200195
222,Austin Jackson,621,218,53,65,374,9,1120,0.273,0.333,0.396,0.7290000000000001,0.2448916408668731,0.4665634674922601,0.25882352941176473,0.029721362229102162,0.046851493660004295,0.01139050075220288,0.013969482054588438,0.08037825059101655,0.0019342359767891683,0.24070492155598536,88.61047008547008,9.807280513918627,-1.9648150694506188,-1.2485009260748956,-0.652814079457607,3.308235596745773
223,John Jaso,295,143,12,55,319,6,412,0.258,0.35600000000000004,0.407,0.763,0.25067824199674443,0.4460119370591427,0.2371134020618557,0.06619641888225719,0.055191045928213035,0.004631416441528367,0.021227325357005014,0.1231184870706291,0.0023157082207641835,0.15901196449247396,87.18059936908517,11.195583596214512,-1.9462932962495674,-1.2484036476748044,-0.6603650802725529,3.218040169963633
224,Jon Jay,530,185,25,37,285,22,714,0.28300000000000003,0.348,0.373,0.721,0.16553153686704175,0.5584838614154575,0.2496298489783832,0.026058631921824102,0.043013252731922816,0.005812601720530109,0.008602650546384562,0.06626365961404325,0.005115089514066497,0.16600790513833993,85.19541759053955,6.247041420118343,-1.8903177884314348,-1.1586373191421633,-0.5776100772377624,3.213394262277331
225,Desmond Jennings,311,99,22,55,219,2,481,0.245,0.322,0.393,0.716,0.2350453172205438,0.4845921450151057,0.1891238670694864,0.09123867069486404,0.04210974053594215,0.009357720119098255,0.02339430029774564,0.0931518502764781,0.0008507018290089324,0.20459378987664825,87.0063063063063,7.918918918918918,-1.9316477522891187,-1.2148080383396138,-0.6224807133069052,3.244192194953891
227,Chris Johnson,256,154,10,63,144,16,753,0.275,0.313,0.404,0.7170000000000001,0.2435406698564593,0.4578947368421053,0.2660287081339713,0.03253588516746411,0.05141903171953256,0.00333889816360601,0.021035058430717863,0.04808013355592655,0.005342237061769616,0.25141903171953256,89.63730886850149,11.143730886850152,-1.9753852361944948,-1.2709911000137613,-0.6563313085304585,3.359399093134241
228,Kelly Johnson,495,192,27,130,397,15,952,0.248,0.32299999999999995,0.419,0.741,0.30520231213872834,0.4361271676300578,0.1947976878612717,0.06329479768786128,0.045757864632983786,0.006434699714013346,0.030981887511916113,0.0946139180171592,0.0035748331744518596,0.226882745471878,87.30469083155651,11.976545842217483,-1.9164745365747722,-1.2793636604169318,-0.6747855602336946,3.2302343364540693
229,Reed Johnson,199,101,9,23,62,3,345,0.277,0.325,0.399,0.723,0.2267028126058963,0.5035581158929177,0.1951880718400542,0.07455099966113182,0.059727971614429325,0.0053222945002956825,0.013601419278533413,0.03666469544648137,0.0017740981667652273,0.2040212891780012,88.67499999999998,16.5,-1.9285760614842038,-1.344647089600293,-0.7029164954229573,3.2943675236888237
230,Adam Jones,941,330,28,279,334,20,1353,0.278,0.318,0.456,0.774,0.2382867132867133,0.4713286713286714,0.20996503496503496,0.08041958041958043,0.04477611940298507,0.0037991858887381283,0.0378561736770692,0.04531886024423338,0.0027137042062415195,0.1835820895522388,87.6632768361582,12.994782608695653,-1.9097915857381236,-1.2689601778179025,-0.6595832747821571,3.26408642907306
