,Name,R,2B,3B,HR,BB,IBB,SO,BA,OBP,SLG,OPS,bbType_flyBall,bbType_groundBall,bbType_lineDrive,bbType_popUp,2BperPA,3BperPA,HRperPA,BBperPA,IBBperPA,SOperPA,p1,p2,p3,p4
85,Robinson Chirinos,252,100,4,86,203,2,561,0.231,0.325,0.431,0.755,0.2653673163418291,0.3928035982008996,0.2383808095952024,0.10344827586206896,0.047058823529411764,0.0018823529411764702,0.04047058823529412,0.09552941176470588,0.0009411764705882351,0.264,-0.21614838195484054,0.03722345979659899,-0.046226875286821366,-0.02821033412358239
86,Lonnie Chisenhall,261,132,10,64,150,12,437,0.268,0.32,0.4270000000000001,0.747,0.2557358701734751,0.3928371572467823,0.2445439283715725,0.10632344711807498,0.055932203389830515,0.00423728813559322,0.02711864406779661,0.0635593220338983,0.005084745762711864,0.18516949152542367,-0.21116395122055276,0.04289929380151938,-0.04505970466248412,-0.023883676072065898
87,Shin-Soo Choo,932,327,26,215,845,40,1520,0.275,0.378,0.449,0.826,0.2355254533537252,0.492462311557789,0.2425169324885296,0.029495302599956308,0.04713853250684734,0.0037480178751621743,0.030993224736917974,0.12181058094277065,0.005766181346403346,0.21911489116332708,-0.24473500806376308,0.1408384972368233,-0.10837855037192254,-0.038047930344909296
88,Chris Coghlan,353,149,26,53,275,19,535,0.258,0.334,0.398,0.731,0.2117138742198752,0.4935189630340854,0.2443590974555929,0.05040806529044648,0.05129087779690189,0.008950086058519794,0.018244406196213425,0.09466437177280553,0.006540447504302925,0.18416523235800344,-0.2388908157381824,0.15346768360301974,-0.08441812980344572,-0.03874198953505662
89,Michael Conforto,348,121,4,118,302,20,606,0.259,0.358,0.484,0.843,0.2640911969601013,0.3932868904369855,0.2754908169727676,0.06713109563014566,0.048380647740903636,0.001599360255897641,0.047181127548980406,0.1207516993202719,0.007996801279488205,0.2423030787684926,-0.18591789144523832,0.049036348243417745,-0.08024791937754802,-0.018058755181636073
90,Willson Contreras,227,90,8,74,182,7,445,0.265,0.35100000000000003,0.463,0.8140000000000001,0.18808777429467088,0.5258620689655172,0.2335423197492163,0.05250783699059562,0.047644256220222336,0.004235044997353097,0.039174166225516144,0.09634727368978296,0.00370566437268396,0.235574377977766,-0.25533678430537904,0.18973422681451008,-0.07301333473700404,-0.039769582394107265
91,Carlos Correa,334,128,7,107,272,17,542,0.276,0.354,0.48,0.8340000000000001,0.20404984423676006,0.4688473520249221,0.26220145379023885,0.06490134994807893,0.04959318093762108,0.0027121270825261525,0.041456799690042616,0.1053855094924448,0.0065865943432778,0.20999612553273925,-0.2135058754372766,0.14026417739025696,-0.06613770125055571,-0.026173847577076918
92,Zack Cozart,408,158,24,87,219,9,549,0.247,0.3,0.399,0.6990000000000001,0.2305630026809652,0.4343163538873995,0.23745691306013025,0.09766373037150516,0.04663518299881937,0.007083825265643448,0.025678866587957497,0.06463990554899646,0.002656434474616293,0.16204250295159384,-0.22604966297826,0.0893560282430958,-0.046649887224370405,-0.036905006044911294
93,Allen Craig,239,107,3,59,143,4,394,0.276,0.333,0.435,0.768,0.2379084967320261,0.477124183006536,0.2326797385620915,0.05228758169934642,0.0531544957774466,0.0014903129657228018,0.029309488325881768,0.07103825136612021,0.001987083954297069,0.1957277694982613,-0.25111941361558515,0.1219066011664836,-0.09144017007747543,-0.03363276794721909
94,Brandon Crawford,509,234,38,106,413,65,984,0.25,0.317,0.392,0.7090000000000001,0.21506580789694765,0.4642957154858583,0.2551106132735929,0.06552786334360124,0.047648136835675016,0.007737731622887396,0.021584198737528,0.08409692526980249,0.013235593565465284,0.2003665241295052,-0.2205921848182287,0.12905565330284524,-0.07209095760794965,-0.034244490950239896
95,Carl Crawford,508,164,49,74,211,9,562,0.284,0.33,0.43,0.76,0.2413733609385784,0.5015527950310559,0.20169082125603865,0.05452035886818495,0.045555555555555564,0.013611111111111109,0.02055555555555556,0.05861111111111113,0.0025,0.15611111111111112,-0.2819120645128079,0.13273456263933026,-0.09108005293934189,-0.058000537512702774
96,Coco Crisp,499,168,34,81,366,10,494,0.254,0.325,0.396,0.721,0.2519788918205805,0.4728609121748963,0.20015077271013945,0.07463249151903506,0.04421052631578947,0.008947368421052631,0.021315789473684208,0.09631578947368423,0.002631578947368421,0.13,-0.2718991651008948,0.10288895877530435,-0.07132488519092255,-0.054462047837997796
97,C.J. Cron,283,123,6,118,148,7,583,0.257,0.312,0.464,0.775,0.23000551571980146,0.4048538334252621,0.2675124103695532,0.09707666850523994,0.047545419404715884,0.0023192887514495554,0.04561267877850792,0.0572091225357557,0.002705836876691148,0.2253575570158485,-0.1928585348461109,0.0718946738411034,-0.04714331385636816,-0.020277180118739135
98,Nelson Cruz,901,311,11,402,602,65,1505,0.281,0.35200000000000004,0.54,0.892,0.2841850131286609,0.42173298323571,0.21430014138557868,0.07978186225005049,0.046598741384477074,0.001648186994306263,0.060233742882828886,0.09020077914294276,0.00973928678453701,0.2255019478573569,-0.24996673553970924,0.04504460470785557,-0.0732474744675397,-0.03605187023988659
99,Michael Cuddyer,489,207,25,125,301,23,642,0.282,0.343,0.468,0.8109999999999999,0.2624303232998885,0.476923076923077,0.1870680044593088,0.07357859531772576,0.05542168674698795,0.0066934404283801865,0.03346720214190094,0.08058902275769746,0.006157965194109772,0.1718875502008032,-0.28836805470606003,0.09661035534427416,-0.07418744165298664,-0.04757241015672434
100,Jack Cust,234,69,1,74,316,10,596,0.24,0.369,0.4270000000000001,0.7959999999999999,0.3223583460949464,0.4088820826952527,0.2266462480857581,0.04134762633996937,0.03622047244094488,0.0005249343832020997,0.03884514435695538,0.16587926509186351,0.005249343832020997,0.31286089238845144,-0.24055250845438153,0.022643193903762588,-0.1167397886455709,-0.04155247053005443
101,Travis d'Arnaud,221,89,5,72,158,9,383,0.253,0.314,0.423,0.737,0.22900763358778625,0.4293893129770993,0.2538167938931298,0.08778625954198473,0.04354207436399217,0.002446183953033268,0.035225048923679066,0.07729941291585128,0.004403131115459882,0.18737769080234834,-0.21152877542955575,0.09061779805260164,-0.05484056375035916,-0.0301443670602288
102,Johnny Damon,388,135,22,69,272,4,389,0.274,0.349,0.433,0.782,0.25194727381665666,0.4553624925104853,0.18933493109646496,0.10335530257639304,0.049360146252285186,0.008043875685557587,0.02522851919561243,0.09945155393053016,0.0014625228519195613,0.14223034734917733,-0.27292263485697443,0.08442878263663374,-0.04159026315926038,-0.05087704826424581
103,Chris Davis,707,228,5,295,555,50,1852,0.233,0.315,0.459,0.774,0.3237975479408991,0.3753536623703238,0.2492926752593524,0.05155611442942471,0.04049733570159858,0.0008880994671403197,0.052397868561278864,0.09857904085257548,0.008880994671403197,0.3289520426287744,-0.2150172174709003,-0.0036108772504182935,-0.11347552085064619,-0.02835264961567266
104,Ike Davis,260,117,2,81,294,20,538,0.239,0.332,0.414,0.746,0.2750642673521851,0.43573264781491,0.20886889460154245,0.08033419023136247,0.04891304347826087,0.0008361204013377926,0.0338628762541806,0.12290969899665552,0.008361204013377926,0.2249163879598662,-0.2567872842859379,0.06232275775761905,-0.06834514441801312,-0.03890945176873588
105,Khris Davis,495,159,8,218,318,10,986,0.243,0.316,0.495,0.81,0.2883227176220807,0.4021231422505308,0.2505307855626327,0.05902335456475584,0.043089430894308944,0.002168021680216802,0.05907859078590786,0.08617886178861789,0.002710027100271003,0.2672086720867209,-0.2161461270520526,0.036450074170024147,-0.09687446583062657,-0.02833836805527632
