,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
51,215,SL,2021-10-22,86.4,-0.5,6.15,"Stanek, Ryne",543877.0,592773.0,,swinging_strike,,,,,14.0,Christian Vazquez pops out to first baseman Yuli Gurriel.,L,R,R,HOU,BOS,S,,,0.0,1.0,2021.0,0.22,-0.22,0.45,1.11,,,,1.0,8.0,Top,,,,,455117.0,,,1.8193254014220024,-125.8251762695532,-5.322152830196151,1.9765337369592184,25.45755790170936,-33.637868885358486,3.29,1.49,,,,86.0,2585.0,6.0,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.51,,,,,,,,55.0,2.0,Slider,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Standard,Standard,42.0,0.0,-0.035
52,223,FF,2021-10-22,97.5,-0.49,6.41,"Stanek, Ryne",543877.0,592773.0,,foul,,,,,1.0,Christian Vazquez pops out to first baseman Yuli Gurriel.,L,R,R,HOU,BOS,S,,,0.0,0.0,2021.0,-0.87,1.46,-0.47,3.35,,,,1.0,8.0,Top,,,,,455117.0,,,2.034205820066402,-141.89012911253255,-5.945030029923557,-12.130315390926642,36.12569615902371,-11.389995882070231,3.29,1.49,194.0,68.6,53.0,96.3,2328.0,5.8,660899.0,592773.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.68,,,,,,,,55.0,1.0,4-Seam Fastball,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Standard,Standard,212.0,0.0,-0.027000000000000003
78,147,SI,2021-10-22,96.5,-1.08,5.79,"Graveman, Kendall",657077.0,608665.0,single,hit_into_play,,,,,6.0,Alex Verdugo singles on a sharp ground ball to right fielder Kyle Tucker.   J.D. Martinez to 3rd.,L,L,R,HOU,BOS,X,9.0,ground_ball,1.0,0.0,2021.0,-1.31,0.93,0.48,2.14,,,502110.0,1.0,7.0,Top,196.03,125.92,,,455117.0,,,7.124115278316723,-140.28596693487026,-6.2315826075347385,-18.95909401609766,32.155471619230745,-18.700587132269327,3.37,1.53,5.0,109.4,-22.0,96.3,2273.0,6.3,660899.0,608665.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.22,0.147,0.133,0.9,1.0,1.0,0.0,2.0,49.0,2.0,Sinker,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Infield shift,Standard,215.0,-0.086,0.428
79,149,SI,2021-10-22,96.0,-1.07,5.76,"Graveman, Kendall",657077.0,608665.0,,ball,,,,,14.0,Alex Verdugo singles on a sharp ground ball to right fielder Kyle Tucker.   J.D. Martinez to 3rd.,L,L,R,HOU,BOS,B,,,0.0,0.0,2021.0,-1.44,1.01,1.48,2.28,,,502110.0,1.0,7.0,Top,,,,,455117.0,,,9.99429975034732,-139.3573038240181,-5.892136073116324,-21.033741680233952,31.146866053020464,-17.802839910101827,3.39,1.53,,,,95.8,2249.0,6.3,660899.0,608665.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.22,,,,,,,,49.0,1.0,Sinker,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Infield shift,Standard,214.0,0.0,0.046
80,155,SI,2021-10-22,97.5,-1.02,5.81,"Graveman, Kendall",502110.0,608665.0,walk,ball,,,,,14.0,J.D. Martinez walks.,L,R,R,HOU,BOS,B,,,3.0,2.0,2021.0,-1.37,0.89,1.09,1.52,,,,1.0,7.0,Top,,,,,455117.0,,,8.802610480282487,-141.4849543688941,-8.026801384732956,-20.429504972530058,32.77826307668674,-18.53279818771189,3.72,1.76,,,,97.4,2240.0,6.4,660899.0,608665.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.09,,,0.7,1.0,0.0,0.0,,48.0,7.0,Sinker,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Standard,Standard,218.0,-0.039,0.214
81,164,SL,2021-10-22,85.5,-1.08,5.82,"Graveman, Kendall",502110.0,608665.0,,ball,,,,,14.0,J.D. Martinez walks.,L,R,R,HOU,BOS,B,,,2.0,2.0,2021.0,0.38,-0.25,1.51,1.59,,,,1.0,7.0,Top,,,,,455117.0,,,5.3410526301707835,-124.39015198816791,-3.1805477900783288,2.9164486785664545,24.747259322118193,-34.33869840378845,3.77,1.77,,,,85.5,2467.0,6.2,660899.0,608665.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.25,,,,,,,,48.0,6.0,Slider,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Standard,Standard,74.0,0.0,0.071
82,172,SL,2021-10-22,85.5,-1.05,5.84,"Graveman, Kendall",502110.0,608665.0,,ball,,,,,14.0,J.D. Martinez walks.,L,R,R,HOU,BOS,B,,,1.0,2.0,2021.0,0.6,0.06,1.41,2.66,,,,1.0,7.0,Top,,,,,455117.0,,,4.607111000893694,-124.47685911810349,-1.3053043735845624,5.2413196831155116,25.834695500336075,-31.497180342232717,3.72,1.76,,,,85.4,2517.0,6.3,660899.0,608665.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.23,,,,,,,,48.0,5.0,Slider,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Standard,Standard,88.0,0.0,0.027999999999999997
83,179,SI,2021-10-22,96.3,-1.03,5.88,"Graveman, Kendall",502110.0,608665.0,,foul,,,,,14.0,J.D. Martinez walks.,L,R,R,HOU,BOS,S,,,1.0,2.0,2021.0,-1.35,0.92,0.89,2.44,,,,1.0,7.0,Top,,,,,455117.0,,,8.1693245782789,-139.89935116342917,-5.618972214685672,-19.614930037084324,31.50674634721674,-18.949106452074453,3.49,1.6,231.0,76.7,31.0,96.2,2228.0,6.3,660899.0,608665.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.17,,,,,,,,48.0,4.0,Sinker,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Standard,Standard,222.0,0.0,0.0
84,187,SI,2021-10-22,96.3,-1.17,5.81,"Graveman, Kendall",502110.0,608665.0,,foul,,,,,8.0,J.D. Martinez walks.,L,R,R,HOU,BOS,S,,,1.0,1.0,2021.0,-1.23,1.22,-0.12,1.87,,,,1.0,7.0,Top,,,,,455117.0,,,5.569087706041441,-139.91103751402957,-7.5778903362492525,-17.426968815280024,33.639890300226945,-14.6280031959805,3.49,1.6,215.0,72.6,39.0,96.0,2278.0,6.3,660899.0,608665.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.16,,,,,,,,48.0,3.0,Sinker,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Standard,Standard,216.0,0.0,-0.043
85,190,SI,2021-10-22,97.9,-1.18,5.83,"Graveman, Kendall",502110.0,608665.0,,ball,,,,,14.0,J.D. Martinez walks.,L,R,R,HOU,BOS,B,,,0.0,1.0,2021.0,-1.28,1.06,0.17,0.11,,,,1.0,7.0,Top,,,,,455117.0,,,6.579452783957704,-141.98817794321894,-12.323022131551536,-18.879364101446786,33.4304473060402,-15.056290555886704,3.73,1.78,,,,97.4,2342.0,6.3,660899.0,608665.0,455117.0,493329.0,514888.0,608324.0,621043.0,488726.0,676801.0,663656.0,54.23,,,,,,,,48.0,2.0,Sinker,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Standard,Standard,217.0,0.0,0.021
