,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
49,SL,2023-08-19,89.2,-2.45,5.89,"Cole, Gerrit",657077,543037,,foul,,,,,6,Alex Verdugo strikes out swinging.,R,L,R,NYY,BOS,S,,,0,0,2023,0.2,0.46,0.42,2.25,,,,1,2,Top,,,,,666163,,,6.611824651201579,-129.84484380433642,-3.918070182392969,0.9932091824857832,25.561267465565013,-26.383498773427696,3.52,1.57,8.0,83.4,-15.0,89.3,2484,6.2,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.29,,,,,,,,13,1,Slider,0,4,4,0,4,0,4,0,Standard,Standard,130,0.0,-0.026000000000000002
50,FC,2023-08-19,91.5,-2.34,5.81,"Cole, Gerrit",649966,543037,home_run,hit_into_play,,,,,9,Luis Urias hits a grand slam (3) to left center field.   Jarren Duran scores.    Pablo Reyes scores.    Connor Wong scores.,R,R,R,NYY,BOS,X,,fly_ball,0,0,2023,0.42,0.46,0.44,1.69,680776.0,622569.0,657136.0,1,2,Top,66.19,46.72,,,666163,,,6.1187593256769786,-133.13846012139211,-5.518894453818913,3.716566223065723,28.59887848591961,-25.659202344779548,3.21,1.55,404.0,105.9,27.0,91.8,2570,6.5,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.02,0.9570000000000001,1.9040000000000001,2.0,1.0,0.0,3.0,6.0,12,1,Cutter,0,0,0,0,4,0,4,0,Standard,Standard,177,-0.24,2.6630000000000003
51,SL,2023-08-19,90.3,-2.31,5.85,"Cole, Gerrit",657136,543037,force_out,hit_into_play,,,,,9,"Connor Wong grounds into a force out, third baseman Isiah Kiner-Falefa to catcher Ben Rortvedt.   Adam Duvall out at home.    Jarren Duran to 3rd.    Pablo Reyes to 2nd.    Connor Wong to 1st.",R,R,R,NYY,BOS,X,5.0,ground_ball,2,1,2023,0.46,0.19,0.34,1.96,594807.0,680776.0,622569.0,0,2,Top,112.16,175.58,,,666163,,,5.632808530193554,-131.45046855561858,-4.180991432661712,4.1651406118834595,26.531341467311982,-29.281199938695906,3.23,1.44,57.0,98.9,2.0,90.7,2636,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.08,0.446,0.435,0.0,1.0,0.0,0.0,4.0,11,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,120,0.069,-0.7090000000000001
52,FF,2023-08-19,99.5,-2.0,6.02,"Cole, Gerrit",657136,543037,,ball,,,,,14,"Connor Wong grounds into a force out, third baseman Isiah Kiner-Falefa to catcher Ben Rortvedt.   Adam Duvall out at home.    Jarren Duran to 3rd.    Pablo Reyes to 2nd.    Connor Wong to 1st.",R,R,R,NYY,BOS,B,,,1,1,2023,-0.72,1.29,1.15,2.32,594807.0,680776.0,622569.0,0,2,Top,,,,,666163,,,10.321080805985973,-144.27987656344987,-7.744229903409313,-12.601978044262486,35.462449105230235,-12.42718092344526,3.23,1.41,,,,99.1,2475,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.09,,,,,,,,11,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213,0.0,0.127
53,FF,2023-08-19,98.1,-2.32,5.88,"Cole, Gerrit",657136,543037,,ball,,,,,11,"Connor Wong grounds into a force out, third baseman Isiah Kiner-Falefa to catcher Ben Rortvedt.   Adam Duvall out at home.    Jarren Duran to 3rd.    Pablo Reyes to 2nd.    Connor Wong to 1st.",R,R,R,NYY,BOS,B,,,0,1,2023,-0.8,1.34,-1.13,3.41,594807.0,680776.0,622569.0,0,2,Top,,,,,666163,,,5.107009804869495,-142.70107348971962,-4.268700896000667,-12.148034259310403,34.95528949081395,-13.132429167345625,3.18,1.39,,,,98.1,2455,6.5,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.02,,,,,,,,11,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,218,0.0,0.096
54,FC,2023-08-19,94.6,-2.33,5.87,"Cole, Gerrit",657136,543037,,foul,,,,,12,"Connor Wong grounds into a force out, third baseman Isiah Kiner-Falefa to catcher Ben Rortvedt.   Adam Duvall out at home.    Jarren Duran to 3rd.    Pablo Reyes to 2nd.    Connor Wong to 1st.",R,R,R,NYY,BOS,S,,,0,0,2023,-0.08,1.18,0.43,3.38,594807.0,680776.0,622569.0,0,2,Top,,,,,666163,,,7.389082370871061,-137.66905880303662,-3.4924025396147718,-2.5853450097559008,29.406942245649386,-16.59699239090485,3.23,1.44,194.0,81.3,15.0,95.0,2600,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.07,,,,,,,,11,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,194,0.0,-0.114
55,FF,2023-08-19,98.7,-2.01,6.0,"Cole, Gerrit",622569,543037,walk,ball,,,,,14,Pablo Reyes walks.,R,R,R,NYY,BOS,B,,,3,2,2023,-0.97,1.37,1.18,1.79,594807.0,680776.0,,0,2,Top,,,,,666163,,,10.94313196516883,-143.09400046923975,-9.187697340904462,-15.931386354103875,33.74656393644446,-11.22584368381773,3.32,1.58,,,,98.7,2441,6.5,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,53.98,,,0.7,1.0,0.0,0.0,,10,8,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,207,-0.024,0.266
56,FF,2023-08-19,98.0,-2.06,6.03,"Cole, Gerrit",622569,543037,,foul,,,,,1,Pablo Reyes walks.,R,R,R,NYY,BOS,S,,,3,2,2023,-0.77,1.35,-0.38,2.85,594807.0,680776.0,,0,2,Top,,,,,666163,,,6.3219153192669815,-142.55184080165566,-6.235047467071962,-11.99741772964856,33.35635914420725,-12.509531271232127,3.35,1.63,236.0,73.8,31.0,98.1,2366,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.1,,,,,,,,10,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211,0.0,0.0
57,FF,2023-08-19,97.9,-1.94,6.15,"Cole, Gerrit",622569,543037,,ball,,,,,12,Pablo Reyes walks.,R,R,R,NYY,BOS,B,,,2,2,2023,-0.54,1.46,0.59,4.25,594807.0,680776.0,,0,2,Top,,,,,666163,,,8.08836233142656,-142.35714683890475,-2.9497482904368484,-9.300339706047804,34.71646137305128,-11.952688385491474,3.3,1.58,,,,97.7,2435,6.3,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.16,,,,,,,,10,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210,0.0,0.136
58,FF,2023-08-19,97.2,-1.95,6.08,"Cole, Gerrit",622569,543037,,foul,,,,,2,Pablo Reyes walks.,R,R,R,NYY,BOS,S,,,2,2,2023,-0.88,1.66,-0.06,3.01,594807.0,680776.0,,0,2,Top,,,,,666163,,,7.092586004291719,-141.22340486882348,-6.5081484308636055,-13.370461538468511,32.31265336231071,-8.619569037128223,3.35,1.63,185.0,81.3,16.0,97.2,2418,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.1,,,,,,,,10,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213,0.0,0.0
59,SL,2023-08-19,90.4,-2.2,5.84,"Cole, Gerrit",622569,543037,,ball,,,,,14,Pablo Reyes walks.,R,R,R,NYY,BOS,B,,,1,2,2023,0.37,0.26,1.39,2.09,594807.0,680776.0,,0,2,Top,,,,,666163,,,8.181611901950184,-131.53545110100114,-4.0111913619104,2.725212978906523,26.049234132555107,-28.513205258869863,3.27,1.58,,,,90.9,2651,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.08,,,,,,,,10,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,121,0.0,0.027000000000000003
60,FF,2023-08-19,97.8,-2.08,5.99,"Cole, Gerrit",622569,543037,,foul,,,,,1,Pablo Reyes walks.,R,R,R,NYY,BOS,S,,,1,1,2023,-0.66,1.4,-0.63,3.04,594807.0,680776.0,,0,2,Top,,,,,666163,,,5.448708497142925,-142.16612404986282,-5.65240534904953,-10.235669913551806,35.61723988083869,-12.179421763069286,3.35,1.63,255.0,79.1,32.0,97.7,2331,6.5,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,53.97,,,,,,,,10,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211,0.0,-0.142
61,FF,2023-08-19,97.9,-2.18,5.99,"Cole, Gerrit",622569,543037,,ball,,,,,11,Pablo Reyes walks.,R,R,R,NYY,BOS,B,,,0,1,2023,-0.78,1.41,-0.61,3.84,594807.0,680776.0,,0,2,Top,,,,,666163,,,6.0623346149827055,-142.4667350013769,-3.5663285453355718,-12.01167109973935,34.261626902416964,-12.425303666409063,3.27,1.55,,,,98.1,2356,6.5,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.0,,,,,,,,10,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213,0.0,0.057999999999999996
62,FF,2023-08-19,97.7,-2.17,5.94,"Cole, Gerrit",622569,543037,,swinging_strike,,,,,1,Pablo Reyes walks.,R,R,R,NYY,BOS,S,,,0,0,2023,-0.57,1.4,-0.53,3.22,594807.0,680776.0,,0,2,Top,,,,,666163,,,5.735882583585185,-142.0699603828956,-5.022128962777416,-9.051791262132015,34.93678284072997,-12.340574595374324,3.35,1.63,,,,97.7,2363,6.5,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,53.99,,,,,,,,10,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,214,0.0,-0.075
63,CH,2023-08-19,91.3,-2.24,5.79,"Cole, Gerrit",680776,543037,single,hit_into_play,,,,,8,Jarren Duran singles on a line drive to center fielder Harrison Bader.   Adam Duvall to 3rd.    Jarren Duran to 2nd.,R,L,R,NYY,BOS,X,8.0,line_drive,2,2,2023,-1.22,0.62,-0.17,1.7,,,594807.0,0,2,Top,142.47,73.17,,,666163,,,7.832002359398162,-132.81697154458087,-5.8661949914767275,-15.96401107801015,23.734394019737028,-23.834777048836948,3.41,1.71,294.0,85.0,22.0,92.3,1530,6.5,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,53.96,0.41100000000000003,0.415,0.9,1.0,1.0,0.0,3.0,9,8,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,233,-0.11,0.723
64,FF,2023-08-19,98.2,-2.11,6.05,"Cole, Gerrit",680776,543037,,foul,,,,,4,Jarren Duran singles on a line drive to center fielder Harrison Bader.   Adam Duvall to 3rd.    Jarren Duran to 2nd.,R,L,R,NYY,BOS,S,,,2,2,2023,-0.85,1.49,-0.35,2.5,,,594807.0,0,2,Top,,,,,666163,,,6.710609168508045,-142.74746959701955,-7.590512398529433,-13.147631930644126,32.921121128109945,-10.182011964700509,3.41,1.71,257.0,87.6,46.0,98.2,2476,6.3,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.17,,,,,,,,9,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210,0.0,0.0
65,FF,2023-08-19,98.2,-2.18,5.99,"Cole, Gerrit",680776,543037,,foul,,,,,3,Jarren Duran singles on a line drive to center fielder Harrison Bader.   Adam Duvall to 3rd.    Jarren Duran to 2nd.,R,L,R,NYY,BOS,S,,,2,2,2023,-0.76,1.37,0.47,3.46,,,594807.0,0,2,Top,,,,,666163,,,8.938760226965703,-142.75873822686506,-4.596212680026885,-12.364656900863073,31.08353414347988,-12.470678851696992,3.41,1.71,,,,98.5,2445,6.4,716943,543037,666163,518934,650402,643396,683011,656185,664056,592450,54.09,,,,,,,,9,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211,0.0,0.0
